MANDT,QMNUM,QMART,QMTXT,ARTPR,PRIOK,ERNAM,ERDAT,AENAM,AEDAT,MZEIT,QMDAT,QMNAM,STRMN,STRUR,LTRMN,LTRUR,WAERS,AUFNR,VERID
800,000000000074,F2   ,Scratches on the surface.               ,QM   ,     ,RICKAYZEN   ,1996-11-01 00:00:00,BARTHEL     ,1997-01-13 00:00:00,2021-02-15 13:12:59,1996-11-01 00:00:00,None,1996-11-01 00:00:00,2021-02-15 13:12:59,None,2021-02-15 00:00:00,       ,              ,      
800,000000000075,Q1   ,                                        ,QM   ,     ,RICKAYZEN   ,1996-11-01 00:00:00,BARTHEL     ,1997-01-13 00:00:00,2021-02-15 13:16:42,1996-11-01 00:00:00,None,1996-11-01 00:00:00,2021-02-15 13:16:42,None,2021-02-15 00:00:00,       ,              ,      
800,000000000084,Q1   ,Too impure to use                       ,QM   ,     ,RICKAYZEN   ,1996-12-01 00:00:00,WF-QM-2     ,1996-12-01 00:00:00,2021-02-15 09:37:25,1996-12-01 00:00:00,None,1996-12-01 00:00:00,2021-02-15 09:37:25,None,2021-02-15 00:00:00,       ,              ,      
800,000000000085,Q1   ,Not pure enough                         ,QM   ,     ,RICKAYZEN   ,1996-12-01 00:00:00,BARTHEL     ,1997-01-13 00:00:00,2021-02-15 09:40:01,1996-12-01 00:00:00,None,1996-12-01 00:00:00,2021-02-15 09:40:01,None,2021-02-15 00:00:00,       ,              ,      
800,000000000094,Q1   ,Check the ration of the mix             ,QM   ,1    ,RICKAYZEN   ,1996-03-26 00:00:00,WF-QM-1     ,1996-03-26 00:00:00,2021-02-15 15:30:56,1996-03-26 00:00:00,None,1996-03-26 00:00:00,2021-02-15 15:30:56,1996-03-27 00:00:00,2021-02-15 15:30:56,       ,              ,      
800,000000000095,Q1   ,The mix is not correct                  ,QM   ,     ,RICKAYZEN   ,1996-03-26 00:00:00,WF-QM-2     ,1996-03-26 00:00:00,2021-02-15 15:58:13,1996-03-26 00:00:00,None,1996-03-26 00:00:00,2021-02-15 15:58:13,None,2021-02-15 00:00:00,       ,              ,      
800,000000000124,F2   ,Kratzer und Fingerabdr�cke festgestellt ,QM   ,2    ,WESTERMANN  ,1996-10-05 00:00:00,WESTERMANN  ,1996-05-15 00:00:00,2021-02-15 17:05:40,1996-10-05 00:00:00,None,1996-10-05 00:00:00,2021-02-15 17:19:49,1996-05-14 00:00:00,2021-02-15 17:19:49,       ,              ,      
800,000000000144,F3   ,                                        ,QM   ,     ,KEILBACH    ,1996-07-31 00:00:00,BARTHEL     ,1996-12-19 00:00:00,2021-02-15 19:01:55,1996-07-31 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000154,F2   ,Wieder keine Handschuhe benutzt!        ,QM   ,2    ,WESTERMANN  ,1996-12-12 00:00:00,WESTERMANN  ,1996-12-12 00:00:00,2021-02-15 18:35:15,1996-12-12 00:00:00,None,1996-12-12 00:00:00,2021-02-15 18:40:53,1996-12-16 00:00:00,2021-02-15 18:40:53,       ,              ,      
800,000000000164,F3   ,                                        ,QM   ,     ,BARTHEL     ,1996-12-20 00:00:00,BARTHEL     ,1996-12-20 00:00:00,2021-02-15 10:36:14,1996-12-20 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000204,F2   ,Identification of screws not conforming ,QM   ,3    ,WESTERMANN  ,2000-12-04 00:00:00,WESTERMANN  ,2000-04-13 00:00:00,2021-02-15 20:42:34,2000-12-04 00:00:00,None,2000-12-04 00:00:00,2021-02-15 20:46:55,2000-04-17 00:00:00,2021-02-15 20:46:55,       ,              ,      
800,000000000205,F2   ,Missing identification of screws        ,QM   ,4    ,WESTERMANN  ,2000-12-04 00:00:00,WESTERMANN  ,2000-04-13 00:00:00,2021-02-15 20:48:17,2000-12-04 00:00:00,None,2000-04-13 00:00:00,2021-02-15 20:56:07,2000-04-19 00:00:00,2021-02-15 20:56:07,       ,              ,      
800,000000000206,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-12-04 00:00:00,            ,None,2021-02-15 20:57:41,2000-12-04 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000214,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-04-13 00:00:00,            ,None,2021-02-15 12:09:25,2000-04-13 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000215,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-04-13 00:00:00,WESTERMANN  ,2000-04-14 00:00:00,2021-02-15 15:05:28,2000-04-13 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000216,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-04-13 00:00:00,WESTERMANN  ,2000-04-13 00:00:00,2021-02-15 15:22:16,2000-04-13 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000217,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-04-13 00:00:00,WESTERMANN  ,2000-04-13 00:00:00,2021-02-15 16:32:19,2000-04-13 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000218,F2   ,Problem mit Schrauben M8 x 40           ,QM   ,2    ,WESTERMANN  ,2000-04-13 00:00:00,WESTERMANN  ,2000-04-14 00:00:00,2021-02-15 16:38:36,2000-04-13 00:00:00,None,2000-04-13 00:00:00,2021-02-15 16:46:45,2000-04-17 00:00:00,2021-02-15 16:46:45,       ,              ,      
800,000000000219,F2   ,Zink�berzug por�s                       ,QM   ,3    ,WESTERMANN  ,2000-04-13 00:00:00,WESTERMANN  ,2000-04-14 00:00:00,2021-02-15 16:55:23,2000-04-13 00:00:00,None,2000-04-13 00:00:00,2021-02-15 17:01:50,2000-04-18 00:00:00,2021-02-15 17:01:50,       ,              ,      
800,000000000220,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-04-13 00:00:00,WESTERMANN  ,2000-04-13 00:00:00,2021-02-15 17:13:15,2000-04-13 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000221,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-04-14 00:00:00,WESTERMANN  ,2000-04-14 00:00:00,2021-02-15 13:38:57,2000-04-14 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000222,F2   ,Schraubenschaft geringf�gig zu lang     ,QM   ,     ,WESTERMANN  ,2000-04-14 00:00:00,WESTERMANN  ,2000-04-14 00:00:00,2021-02-15 14:04:33,2000-04-14 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000223,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-04-14 00:00:00,WESTERMANN  ,2000-04-14 00:00:00,2021-02-15 14:47:07,2000-04-14 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000224,F2   ,Schrauben haben Grat am Gewindeende     ,QM   ,3    ,WESTERMANN  ,2000-04-14 00:00:00,WESTERMANN  ,2000-04-14 00:00:00,2021-02-15 19:54:49,2000-04-14 00:00:00,None,2000-04-14 00:00:00,2021-02-15 19:58:06,2000-04-19 00:00:00,2021-02-15 19:58:06,       ,              ,      
800,000000000244,F2   ,Kennzeichnungsproblem                   ,QM   ,3    ,WESTERMANN  ,2000-10-08 00:00:00,WESTERMANN  ,2000-10-08 00:00:00,2021-02-15 14:28:54,2000-10-08 00:00:00,None,2000-10-08 00:00:00,2021-02-15 14:34:55,2000-08-15 00:00:00,2021-02-15 14:34:55,       ,              ,      
800,000000000245,F2   ,                                        ,QM   ,     ,WESTERMANN  ,2000-10-08 00:00:00,WESTERMANN  ,2000-10-08 00:00:00,2021-02-15 15:38:59,2000-10-08 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000246,F2   ,M�ngel an Sechskanschrauben             ,QM   ,3    ,WESTERMANN  ,2000-10-08 00:00:00,WESTERMANN  ,2000-10-08 00:00:00,2021-02-15 16:32:47,2000-10-08 00:00:00,None,2000-10-08 00:00:00,2021-02-15 16:46:14,2000-08-15 00:00:00,2021-02-15 16:46:14,       ,              ,      
800,000000000247,F2   ,M�ngel an Sechskantschrauben            ,QM   ,3    ,WESTERMANN  ,2000-11-08 00:00:00,WESTERMANN  ,2000-11-08 00:00:00,2021-02-15 11:54:56,2000-11-08 00:00:00,None,2000-11-08 00:00:00,2021-02-15 12:11:21,2000-08-16 00:00:00,2021-02-15 12:11:21,       ,              ,      
800,000000000248,F2   ,M�ngel an Sechskantschrauben            ,QM   ,3    ,WESTERMANN  ,2000-11-08 00:00:00,WESTERMANN  ,2000-11-08 00:00:00,2021-02-15 12:16:49,2000-11-08 00:00:00,None,2000-11-08 00:00:00,2021-02-15 12:21:04,2000-08-16 00:00:00,2021-02-15 12:21:04,       ,              ,      
800,000000000254,01   ,Antrag f�r B�roumzug                    ,SR   ,     ,AHLERT      ,2000-09-21 00:00:00,AHLERT      ,2000-09-21 00:00:00,2021-02-15 15:09:08,2000-09-21 00:00:00,None,2000-09-21 00:00:00,2021-02-15 15:09:08,2000-09-21 00:00:00,2021-02-15 15:09:08,       ,              ,      
800,000000000264,F2   ,Mangelhafte Oberfl�chenbehandlung       ,QM   ,4    ,WESTERMANN  ,2001-04-07 00:00:00,WESTERMANN  ,2001-04-07 00:00:00,2021-02-15 17:52:04,2001-04-07 00:00:00,None,2001-05-07 00:00:00,2021-02-15 17:55:05,2001-11-07 00:00:00,2021-02-15 17:55:05,       ,              ,      
800,000000000274,F2   ,                                        ,QM   ,     ,HUETT       ,2001-07-31 00:00:00,            ,None,2021-02-15 10:15:51,2001-07-31 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000275,F2   ,                                        ,QM   ,     ,HUETT       ,2001-07-31 00:00:00,HUETT       ,2001-07-31 00:00:00,2021-02-15 10:18:42,2001-07-31 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000276,F2   ,                                        ,QM   ,     ,HUETT       ,2001-07-31 00:00:00,HUETT       ,2001-07-31 00:00:00,2021-02-15 10:20:53,2001-07-31 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000277,F2   ,Falschlieferung                         ,QM   ,     ,HUETT       ,2001-07-31 00:00:00,KREYSCHER   ,2001-06-08 00:00:00,2021-02-15 16:35:08,2001-07-31 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000284,F2   ,Hardness exceeded specification         ,QM   ,4    ,D047552     ,2006-09-19 00:00:00,D047552     ,2006-10-26 00:00:00,2021-02-15 13:50:37,2006-09-19 00:00:00,None,2006-10-27 00:00:00,2021-02-15 08:30:00,2006-03-11 00:00:00,2021-02-15 08:30:00,       ,              ,      
800,000000000285,F2   ,Electroplating defects                  ,QM   ,3    ,D047552     ,2006-09-19 00:00:00,D047552     ,2006-12-14 00:00:00,2021-02-15 14:01:20,2006-09-19 00:00:00,None,2006-10-26 00:00:00,2021-02-15 14:15:00,2006-10-31 00:00:00,2021-02-15 14:15:00,       ,              ,      
800,000000000286,F2   ,Nonconforming Thread length             ,QM   ,1    ,D047552     ,2006-09-19 00:00:00,D047552     ,2006-10-26 00:00:00,2021-02-15 14:12:02,2006-09-19 00:00:00,None,2006-10-26 00:00:00,2021-02-15 09:03:13,2006-10-27 00:00:00,2021-02-15 09:03:13,       ,              ,      
800,000000000287,F2   ,Again nonconforming thread length       ,QM   ,2    ,D047552     ,2006-09-19 00:00:00,D047552     ,2006-12-14 00:00:00,2021-02-15 14:25:47,2006-09-19 00:00:00,None,2006-10-26 00:00:00,2021-02-15 14:29:26,2006-10-30 00:00:00,2021-02-15 14:29:26,       ,              ,      
800,000000000288,F2   ,Material falsch behandelt               ,QM   ,2    ,D047552     ,2006-09-19 00:00:00,D047552     ,2006-10-26 00:00:00,2021-02-15 14:43:50,2006-09-19 00:00:00,None,2006-10-19 00:00:00,2021-02-15 13:00:00,2006-10-23 00:00:00,2021-02-15 13:00:00,       ,              ,      
800,000000000289,F2   ,Keine sichtbaren Festigkeitsangaben     ,QM   ,3    ,D047552     ,2006-09-19 00:00:00,D047552     ,2006-07-12 00:00:00,2021-02-15 14:50:18,2006-09-19 00:00:00,None,2006-10-16 00:00:00,2021-02-15 11:05:00,2006-10-19 00:00:00,2021-02-15 11:05:00,       ,              ,      
800,000000000290,F2   ,Zugversuch nicht bestanden              ,QM   ,3    ,D047552     ,2006-09-19 00:00:00,D047552     ,2006-10-26 00:00:00,2021-02-15 14:56:47,2006-09-19 00:00:00,None,2006-10-26 00:00:00,2021-02-15 13:00:00,2006-10-31 00:00:00,2021-02-15 13:00:00,       ,              ,      
800,000000000291,F2   ,Galvanischer �berzug fehlerhaft         ,QM   ,3    ,D047552     ,2006-09-19 00:00:00,D047552     ,2006-10-26 00:00:00,2021-02-15 15:00:22,2006-09-19 00:00:00,None,2006-10-26 00:00:00,2021-02-15 13:45:00,2006-10-31 00:00:00,2021-02-15 13:45:00,       ,              ,      
800,000000000294,F2   ,                                        ,QM   ,     ,D047552     ,2006-09-26 00:00:00,D047552     ,2006-12-10 00:00:00,2021-02-15 15:11:20,2006-09-26 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000295,F2   ,                                        ,QM   ,     ,D047552     ,2006-09-26 00:00:00,D047552     ,2006-12-10 00:00:00,2021-02-15 15:23:25,2006-09-26 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000296,F2   ,                                        ,QM   ,     ,D047552     ,2006-09-26 00:00:00,D047552     ,2006-12-10 00:00:00,2021-02-15 15:24:17,2006-09-26 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000304,F2   ,Schrauben mit falschen Ma�en            ,QM   ,3    ,D047552     ,2006-12-10 00:00:00,D047552     ,2006-12-10 00:00:00,2021-02-15 15:46:48,2006-12-10 00:00:00,None,2006-12-10 00:00:00,2021-02-15 15:46:48,2006-10-17 00:00:00,2021-02-15 15:46:48,       ,              ,      
800,000000000314,F2   ,Tension Test Failed                     ,QM   ,2    ,D047552     ,2006-10-19 00:00:00,D047552     ,2006-12-14 00:00:00,2021-02-15 13:14:39,2006-10-19 00:00:00,None,2006-10-19 00:00:00,2021-02-15 13:14:39,2006-10-23 00:00:00,2021-02-15 13:14:39,       ,              ,      
800,000000000315,F2   ,Identification not Compliant            ,QM   ,3    ,D047552     ,2006-10-19 00:00:00,D047552     ,2006-12-14 00:00:00,2021-02-15 13:17:00,2006-10-19 00:00:00,None,2006-10-19 00:00:00,2021-02-15 13:17:00,2006-10-24 00:00:00,2021-02-15 13:17:00,       ,              ,      
800,000000000316,F2   ,Verdreckte Schrauben angeliefert        ,QM   ,4    ,D047552     ,2006-10-19 00:00:00,D047552     ,2006-10-26 00:00:00,2021-02-15 13:19:22,2006-10-19 00:00:00,None,2006-10-20 00:00:00,2021-02-15 13:19:22,2006-10-26 00:00:00,2021-02-15 13:19:22,       ,              ,      
800,000000000324,F3   ,Faulty Display Panel                    ,QM   ,2    ,I044129     ,2009-03-26 00:00:00,IPD_DES_ENGR,2009-08-04 00:00:00,2021-02-15 12:44:59,2007-03-26 00:00:00,None,2009-03-26 00:00:00,2021-02-15 12:44:59,2009-03-30 00:00:00,2021-02-15 12:44:59,       ,              ,      
800,000000000325,F2   ,                                        ,QM   ,2    ,I044129     ,2009-03-26 00:00:00,IPD_DES_ENGR,2009-08-04 00:00:00,2021-02-15 13:21:46,2007-03-26 00:00:00,None,2009-03-26 00:00:00,2021-02-15 13:21:46,2009-03-30 00:00:00,2021-02-15 13:21:46,       ,              ,      
800,000000000326,F2   ,Faulty Display Panel                    ,QM   ,2    ,I044129     ,2009-03-26 00:00:00,IPD_DES_ENGR,2009-08-04 00:00:00,2021-02-15 13:31:02,2007-03-26 00:00:00,None,2009-03-26 00:00:00,2021-02-15 13:31:02,2009-03-30 00:00:00,2021-02-15 13:31:02,       ,              ,      
800,000000000327,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,IPD_DES_ENGR,2009-08-04 00:00:00,2021-02-15 14:04:46,2007-10-27 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000328,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,            ,None,2021-02-15 14:04:46,2008-11-25 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000329,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,            ,None,2021-02-15 14:04:46,2008-12-22 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000330,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,            ,None,2021-02-15 14:04:46,2009-01-19 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000331,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,            ,None,2021-02-15 14:04:46,2009-02-16 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000332,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,            ,None,2021-02-15 14:04:46,2009-10-03 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000333,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,            ,None,2021-02-15 14:04:46,2009-03-15 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000334,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,            ,None,2021-02-15 14:04:46,2009-03-22 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000335,F3   ,                                        ,QM   ,     ,D050200     ,2009-03-27 00:00:00,            ,None,2021-02-15 14:04:46,2009-03-23 00:00:00,None,2009-03-27 00:00:00,2021-02-15 14:04:46,None,2021-02-15 00:00:00,       ,              ,      
800,000000000344,YS   ,                                        ,QM   ,     ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:22:12,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:22:12,None,2021-02-15 00:00:00,       ,              ,      
800,000000000345,YS   ,test                                    ,QM   ,2    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:35:32,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:35:32,2009-09-17 00:00:00,2021-02-15 11:35:32,       ,              ,      
800,000000000346,YS   ,rtrr                                    ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:39:25,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:39:25,2009-09-18 00:00:00,2021-02-15 11:39:25,       ,              ,      
800,000000000347,YS   ,sdwee                                   ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:42:53,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:42:53,2009-09-18 00:00:00,2021-02-15 11:42:53,       ,              ,      
800,000000000348,YS   ,sdwee                                   ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:43:41,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:43:41,2009-09-18 00:00:00,2021-02-15 11:43:41,       ,              ,      
800,000000000349,YS   ,rtrr                                    ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:44:25,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:44:25,2009-09-18 00:00:00,2021-02-15 11:44:25,       ,              ,      
800,000000000350,YS   ,test                                    ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:45:10,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:45:10,2009-09-18 00:00:00,2021-02-15 11:45:10,       ,              ,      
800,000000000351,YS   ,test                                    ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:45:16,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:45:16,2009-09-18 00:00:00,2021-02-15 11:45:16,       ,              ,      
800,000000000352,YS   ,test                                    ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:45:56,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:45:56,2009-09-18 00:00:00,2021-02-15 11:45:56,       ,              ,      
800,000000000353,YS   ,ID3 test                                ,QM   ,2    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:53:05,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:53:05,2009-09-17 00:00:00,2021-02-15 11:53:05,       ,              ,      
800,000000000354,YS   ,ID3 test                                ,QM   ,2    ,I044286     ,2009-09-15 00:00:00,I044286     ,2009-09-15 00:00:00,2021-02-15 11:53:35,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:53:35,2009-09-17 00:00:00,2021-02-15 11:53:35,       ,              ,      
800,000000000355,YS   ,sdwee                                   ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:55:03,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:55:03,2009-09-18 00:00:00,2021-02-15 11:55:03,       ,              ,      
800,000000000356,YS   ,sdwee                                   ,QM   ,3    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 11:55:32,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 11:55:32,2009-09-18 00:00:00,2021-02-15 11:55:32,       ,              ,      
800,000000000357,YS   ,123                                     ,QM   ,1    ,I044286     ,2009-09-15 00:00:00,            ,None,2021-02-15 12:26:34,2009-09-15 00:00:00,None,2009-09-15 00:00:00,2021-02-15 12:26:34,2009-09-16 00:00:00,2021-02-15 12:26:34,       ,              ,      
800,000000000358,F3   ,                                        ,QM   ,2    ,I044286     ,2009-09-16 00:00:00,I044286     ,2009-09-16 00:00:00,2021-02-15 09:24:24,2009-09-16 00:00:00,None,2009-09-16 00:00:00,2021-02-15 10:11:40,2009-09-18 00:00:00,2021-02-15 10:11:40,       ,              ,      
800,000000000359,YS   ,TSR                                     ,QM   ,1    ,I044286     ,2009-09-16 00:00:00,            ,None,2021-02-15 14:00:30,2009-09-16 00:00:00,None,2009-09-16 00:00:00,2021-02-15 14:00:30,2009-09-17 00:00:00,2021-02-15 14:00:30,       ,              ,      
800,000000000360,YS   ,TSR                                     ,QM   ,1    ,I044286     ,2009-09-16 00:00:00,            ,None,2021-02-15 14:00:37,2009-09-16 00:00:00,None,2009-09-16 00:00:00,2021-02-15 14:00:37,2009-09-17 00:00:00,2021-02-15 14:00:37,       ,              ,      
800,000000000361,F3   ,                                        ,QM   ,     ,I044286     ,2009-09-16 00:00:00,I044286     ,2009-09-17 00:00:00,2021-02-15 14:25:41,2009-09-16 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000362,YS   ,Crack                                   ,QM   ,2    ,I044286     ,2009-09-17 00:00:00,            ,None,2021-02-15 15:27:42,2009-09-17 00:00:00,None,2009-09-17 00:00:00,2021-02-15 15:27:42,2009-09-21 00:00:00,2021-02-15 15:27:42,       ,              ,      
800,000000000364,YS   ,carl test                               ,QM   ,2    ,I044286     ,2009-09-25 00:00:00,            ,None,2021-02-15 17:11:49,2009-09-25 00:00:00,None,2009-09-25 00:00:00,2021-02-15 17:11:49,2009-09-27 00:00:00,2021-02-15 17:11:49,       ,              ,      
800,000000000374,YS   ,QN test                                 ,QM   ,3    ,I044286     ,2009-03-12 00:00:00,            ,None,2021-02-15 04:22:28,2009-03-12 00:00:00,None,2009-03-12 00:00:00,2021-02-15 04:22:28,2009-08-12 00:00:00,2021-02-15 04:22:28,       ,              ,      
